prediction,ground_truth,anls_score,exact_match
sheep,sheep,1.0,True
gray,silver,0.0,False
bathroom,bathroom,1.0,True
cake,nothing,0.0,False
knife,knife,1.0,True
table,head,0.0,False
kite,kite,1.0,True
refrigerator,tile,0.0,False
cleats,cleats,1.0,True
wood,wood,1.0,True
farm,farm,1.0,True
bathroom,bathroom,1.0,True
roman numerals,roman numerals,1.0,True
flying kite,flying kite,1.0,True
young,young,1.0,True
plate,right,0.0,False
pizza,pizza,1.0,True
batter,no one,0.0,False
20,all,0.0,False
afternoon,evening,0.0,False
apple,apple,1.0,True
nike,nike,1.0,True
hat,shirt,0.0,False
rain,rain,1.0,True
clay,plastic,0.0,False
table,table,1.0,True
afternoon,noon,0.0,False
china,asian,0.0,False
coffee,water,0.0,False
wine,woman,0.0,False
red,red,1.0,True
sweater,sweater,1.0,True
window,picture,0.0,False
street,street,1.0,True
park,park,1.0,True
up,straight,0.0,False
phone,hat,0.0,False
shelf,cabinet,0.0,False
hay,food,0.0,False
tv,tv,1.0,True
sand,kite,0.0,False
helmet,helmet,1.0,True
sprinkles,glazed,0.0,False
9,27,0.0,False
many,20,0.0,False
motorcycle,motorcycle,1.0,True
couch,couch,1.0,True
bedroom,bedroom,1.0,True
tan,tan,1.0,True
apple,apple,1.0,True
skateboard,skateboard,1.0,True
lamp,chair,0.0,False
black,plain,0.0,False
left,right,0.0,False
kite,string,0.0,False
cutting board,cutting board,1.0,True
computer,stand,0.0,False
africa,africa,1.0,True
7,50,0.0,False
laptop,laptop,1.0,True
field,pen,0.0,False
kitchen,kitchen,1.0,True
fence,tree,0.0,False
down,down,1.0,True
metal,truck,0.0,False
walking,drinking,0.5,False
chinese,arabic,0.0,False
bedroom,bedroom,1.0,True
palm,palm,1.0,True
shirt,clothes,0.0,False
black and white,color,0.0,False
white,tan,0.0,False
wii,wii,1.0,True
orange,blue,0.0,False
afternoon,afternoon,1.0,True
wine,wine,1.0,True
guitar,electronics,0.0,False
leather,leather,1.0,True
library,library,1.0,True
red and white,green and yellow,0.0,False
flowers,flowers,1.0,True
grass,camera,0.0,False
dog,dog,1.0,True
night,night,1.0,True
wild,ostrich,0.0,False
sunny,sunny,1.0,True
many,4,0.0,False
cake,cake,1.0,True
rectangle,rectangle,1.0,True
lamp,lamp,1.0,True
tan,rainbow,0.0,False
hat,hat,1.0,True
parking,parking,1.0,True
concrete,bricks,0.0,False
on wall,hands,0.0,False
12,6,0.0,False
indoors,indoors,1.0,True
wood,ceramic,0.0,False
right,both,0.0,False
morning,morning,1.0,True
sign,fire hydrant,0.0,False
metal,gold,0.0,False
orange,tan,0.0,False
snow,snow,1.0,True
train,luggage,0.0,False
sitting,taking picture,0.0,False
sun,decoration,0.0,False
elephant,elephant,1.0,True
living room,living room,1.0,True
bedroom,bedroom,1.0,True
ground,background,0.6,False
sunglasses,peace,0.0,False
suitcase,suitcase,1.0,True
checkered,graffiti,0.0,False
stripes,plaid,0.0,False
pink,red,0.0,False
sand,bench,0.0,False
outside,city,0.0,False
no one,woman,0.0,False
books,books,1.0,True
laptop,laptop,1.0,True
blonde,blonde,1.0,True
orange,black,0.0,False
s,s,1.0,True
bathroom,bathroom,1.0,True
dog,dogs,0.75,False
rock,water,0.0,False
eating,taking picture,0.0,False
trees,walking,0.0,False
happy,happy,1.0,True
airport,airport,1.0,True
motorcycle,motorcycle,1.0,True
english,english,1.0,True
wall,clean,0.0,False
tan,tan,1.0,True
w,sony,0.0,False
w,mercedes,0.0,False
phone,phone,1.0,True
plaid,plaid,1.0,True
sandals,sunglasses,0.0,False
snow,snow,1.0,True
one on right,family,0.0,False
cutting,cutting,1.0,True
plate,plate,1.0,True
grass,grass,1.0,True
laptop,tv,0.0,False
cake,cake,1.0,True
tennis,tennis,1.0,True
in air,down,0.0,False
fence,fence,1.0,True
mirror,toothbrush,0.0,False
in air,in air,1.0,True
train station,train station,1.0,True
strawberry,sweet,0.0,False
tan,beige,0.0,False
cow,cow,1.0,True
12,5,0.0,False
laptop,woman,0.0,False
clouds,snow,0.0,False
nothing,flag,0.0,False
palm,grass,0.0,False
right,north,0.0,False
bird,bird,1.0,True
skate park,skate park,1.0,True
orange,green,0.0,False
woman,photographer,0.0,False
tan,tan,1.0,True
dell,apple,0.0,False
cheese,tomato,0.0,False
soccer,volleyball,0.0,False
chocolate,chocolate,1.0,True
12,3,0.0,False
playing wii,playing,0.6363636363636364,False
gray,blue,0.0,False
sunny,cloudy,0.0,False
counter,fridge,0.0,False
nothing,teddy bear,0.0,False
jeans,jeans,1.0,True
rainy,sunset,0.0,False
clear,black,0.0,False
french fries,sweet,0.0,False
bike,skateboard,0.0,False
coffee,coffee,1.0,True
skateboard,dog,0.0,False
soccer,cold,0.0,False
down,down,1.0,True
surfboard,surfboard,1.0,True
cars,bus,0.0,False
bridge,power lines,0.0,False
salad,carrots,0.0,False
fish,boat,0.0,False
donuts,pastries,0.0,False
zoo,zoo,1.0,True
stuffed animal,baby,0.0,False
kites,kites,1.0,True
dessert,chopsticks,0.0,False
10,40,0.5,False
bathroom,bathroom,1.0,True
10,3,0.0,False
silver,black,0.0,False
9,15,0.0,False
kites,kites,1.0,True
chase,chase,1.0,True
tan,orange,0.0,False
table,couch,0.0,False
black and white,black and white,1.0,True
oval,middle,0.0,False
clear,ground,0.0,False
couch,couch,1.0,True
china,china,1.0,True
flying kites,flying kites,1.0,True
tv,tv,1.0,True
purple,pink,0.0,False
crane,crane,1.0,True
sparrow,sparrow,1.0,True
tennis racket,racket,0.0,False
carrots,pineapple,0.0,False
zoo,zoo,1.0,True
winter,winter,1.0,True
phone,head,0.0,False
tie,necklace,0.0,False
tomato,parsley,0.0,False
umbrella,bag,0.0,False
circle,circle,1.0,True
10,12,0.5,False
table,shade,0.0,False
plane,car,0.0,False
rocks,tree,0.0,False
birthday,birthday,1.0,True
living room,living room,1.0,True
black and white,blue,0.0,False
spinach,pizza,0.0,False
on,off,0.0,False
9,12,0.0,False
afternoon,afternoon,1.0,True
camera,camera,1.0,True
rectangle,rectangle,1.0,True
laptop,laptop,1.0,True
skis,pants,0.0,False
kites,kites,1.0,True
tan,black,0.0,False
bathroom,bathroom,1.0,True
table,napkin,0.0,False
microwave,microwave,1.0,True
tie,jacket,0.0,False
bib,bib,1.0,True
skateboard,skateboard,1.0,True
chinese,english,0.0,False
kite flying,flying kites,0.0,False
american,american,1.0,True
luggage,words,0.0,False
phone,phones,0.8333333333333334,False
vegetables,vegetables,1.0,True
ground,ground,1.0,True
milk,milk,1.0,True
hay,hay,1.0,True
skateboard,skateboard,1.0,True
horse,cowboy,0.0,False
clock,clock,1.0,True
bed,bed,1.0,True
sunny,sunny,1.0,True
grass,grass,1.0,True
apple,apple,1.0,True
rectangle,square,0.0,False
purple,purple,1.0,True
woman,standing,0.0,False
bicycle,bicycle,1.0,True
flag,wires,0.0,False
tennis shoes,flip flops,0.0,False
party,party,1.0,True
laptop,computer,0.0,False
lamp,light,0.0,False
sand,sand,1.0,True
grass,tree,0.0,False
sandwich,bread,0.0,False
eating,eating,1.0,True
plane,plane,1.0,True
round,long,0.0,False
silver,silver,1.0,True
truck,car,0.0,False
watch,ring,0.0,False
luggage,luggage,1.0,True
elephants,elephants,1.0,True
snowboard,snowboard,1.0,True
0,1,0.0,False
male,female,0.6666666666666667,False
sandwich,sandwich,1.0,True
beach,beach,1.0,True
pan,counter,0.0,False
plastic,coffee,0.0,False
boston,chicago,0.0,False
beach,beach,1.0,True
fork,fork and knife,0.0,False
flying kite,flying kite,1.0,True
left,right,0.0,False
parrot,parrot,1.0,True
12,4,0.0,False
white,blue,0.0,False
living room,living room,1.0,True
wii remote,remote,0.6,False
umbrella,phone,0.0,False
stop,west,0.0,False
stop,one way,0.0,False
bat,bat,1.0,True
13,27,0.0,False
baseball,baseball,1.0,True
rectangle,rectangle,1.0,True
plastic,plastic,1.0,True
9,12,0.0,False
sneakers,sneakers,1.0,True
bathroom,bathroom,1.0,True
branch,concrete,0.0,False
giraffe,giraffe,1.0,True
street,street,1.0,True
kitchen,dining room,0.0,False
0,0,1.0,True
helmet,helmet,1.0,True
standing,standing,1.0,True
brick,bricks,0.8333333333333334,False
blonde,blonde,1.0,True
10,9,0.0,False
water,on ground,0.0,False
sleeping,resting,0.5,False
kite,phone,0.0,False
fire hydrant,slow,0.0,False
horse,horse,1.0,True
open,closed,0.0,False
red and white,yellow and blue,0.0,False
giraffes,ostrich,0.0,False
trees,trees,1.0,True
polar bear,polar bear,1.0,True
tile,wood,0.0,False
left,left,1.0,True
flying kite,flying kite,1.0,True
ski lift,cones,0.0,False
carrots,onions,0.0,False
giraffe,giraffe,1.0,True
living room,living room,1.0,True
female,female,1.0,True
standing,standing,1.0,True
pizza,cake,0.0,False
stop,stop,1.0,True
brick,stone,0.0,False
cat,cat,1.0,True
bananas,bananas,1.0,True
downtown,street,0.0,False
male,female,0.6666666666666667,False
double decker,modern,0.0,False
8,0,0.0,False
cargo,police,0.0,False
plastic,plastic,1.0,True
zoo,outside,0.0,False
birthday,birthday,1.0,True
couch,couch,1.0,True
umbrella,woman,0.0,False
pizza,pizza,1.0,True
water,above,0.0,False
cutting,cutting,1.0,True
tv,watching tv,0.0,False
water skiing,water skiing,1.0,True
9,2,0.0,False
winter,fall,0.0,False
fruit,oranges,0.0,False
tile,dirty,0.0,False
ski poles,ski poles,1.0,True
down,up,0.0,False
dog,dog,1.0,True
seagull,pelican,0.0,False
9,29,0.5,False
woman,neither,0.0,False
water skiing,water skiing,1.0,True
apple,apple,1.0,True
laptop,light,0.0,False
afternoon,afternoon,1.0,True
man,feet,0.0,False
banana,banana,1.0,True
trees,tree,0.8,False
apples,apples,1.0,True
2,6,0.0,False
goggles,jacket,0.0,False
10,1,0.5,False
afternoon,afternoon,1.0,True
grass,basket,0.0,False
dodgers,dodgers,1.0,True
clock,people,0.0,False
gray,red,0.0,False
bananas,garbage,0.0,False
silver,clear,0.0,False
tennis racket,tennis racket,1.0,True
office,messy,0.0,False
bench,bench,1.0,True
airplane,airplane,1.0,True
camera,camera,1.0,True
metal,wire,0.0,False
cat,tiger,0.0,False
ducks,ducks,1.0,True
oranges,sushi,0.0,False
glass,ceramic,0.0,False
white,silver,0.0,False
pizza,pizza,1.0,True
orange juice,orange juice,1.0,True
fire hydrant,fire hydrant,1.0,True
sandals,flip flops,0.0,False
hat,hat,1.0,True
going,going,1.0,True
living room,living room,1.0,True
snowboarding,snowboarding,1.0,True
black and white,color,0.0,False
elephants,elephants,1.0,True
horse,cow,0.0,False
12,7,0.0,False
10,14,0.5,False
50,16,0.0,False
frisbee,frisbee,1.0,True
stainless steel,stainless steel,1.0,True
wool,tags,0.0,False
left,right,0.0,False
cupcakes,door,0.0,False
sheep,sheep,1.0,True
power lines,trees,0.0,False
30,40,0.5,False
1,16,0.5,False
horses,bull,0.0,False
church,store,0.0,False
train,train,1.0,True
winter,winter,1.0,True
wagon,carriage,0.0,False
laptop,laptop,1.0,True
pink,pink,1.0,True
afternoon,morning,0.0,False
peppers,pepper,0.8571428571428572,False
wine,water,0.0,False
safety,safety,1.0,True
closed,open,0.0,False
towel,curtain,0.0,False
baseball,baseball,1.0,True
winter,winter,1.0,True
10,0,0.5,False
black,gray,0.0,False
emirates,emirates,1.0,True
white,clear,0.0,False
winter,winter,1.0,True
picture,grass,0.0,False
orange,clear,0.0,False
giraffes,pelican,0.0,False
8,3,0.0,False
train,train,1.0,True
laptop,laptop,1.0,True
female,male,0.6666666666666667,False
cowboy,vest,0.0,False
38,34,0.5,False
uphill,uphill,1.0,True
winter,spring,0.0,False
bathroom,toothbrushes,0.0,False
octagon,octagon,1.0,True
floor,floor,1.0,True
eating,sitting,0.5714285714285714,False
many,many,1.0,True
trees,lights,0.0,False
fork,serving,0.0,False
9,lot,0.0,False
palm,oak,0.0,False
hot dog,eyes,0.0,False
shirt,glasses,0.0,False
glove,glove,1.0,True
sign,bus,0.0,False
toaster oven,storage,0.0,False
0,2,0.0,False
donuts,box,0.0,False
clear,tan,0.0,False
kite,kites,0.8,False
purple,silver,0.0,False
skate park,jumping,0.0,False
phone,phone,1.0,True
giraffes,giraffes,1.0,True
brick,brick,1.0,True
fence,car,0.0,False
0,0,1.0,True
sunny,cloudy,0.0,False
water,skateboard,0.0,False
summer,spring,0.0,False
4,1,0.0,False
0,4,0.0,False
cow,cow,1.0,True
daytime,daytime,1.0,True
skis,fence,0.0,False
up,up,1.0,True
clear,white,0.0,False
2,5,0.0,False
sand,beach,0.0,False
sandwich,sandwich,1.0,True
beach,water,0.0,False
spanish,english,0.0,False
cat,dog,0.0,False
slow,slow,1.0,True
afternoon,noon,0.0,False
0,0,1.0,True
shoe,tire,0.0,False
down,above,0.0,False
luggage,suitcase,0.0,False
moss,plants,0.0,False
house,house,1.0,True
lettuce,lettuce,1.0,True
eating,eating,1.0,True
plane,plane,1.0,True
phone,phone,1.0,True
beach,river,0.0,False
walking,walking,1.0,True
nike,nike,1.0,True
sheep,bricks,0.0,False
hot dogs,party,0.0,False
tennis racket,tennis racket,1.0,True
red and white,yellow,0.0,False
daisy,daisy,1.0,True
passenger,electric,0.0,False
night,night,1.0,True
brown and white,brown and white,1.0,True
tall,tall,1.0,True
gray,silver,0.0,False
0,16,0.0,False
curly,straight,0.0,False
laptop,laptops,0.8571428571428572,False
rain,sidewalk,0.0,False
trees,trees,1.0,True
breakfast,breakfast,1.0,True
outside,inside,0.5714285714285714,False
surfing,surfing,1.0,True
living room,playing wii,0.0,False
stone,stone,1.0,True
grass,grass,1.0,True
barn,barn,1.0,True
zoo,above,0.0,False
girl,boy,0.0,False
green,red,0.0,False
many,8,0.0,False
skateboards,skateboards,1.0,True
in air,in air,1.0,True
orange,yellow,0.0,False
umbrella,umbrella,1.0,True
playing wii,playing wii,1.0,True
cheese,knife,0.0,False
vase,table,0.0,False
bed,bed,1.0,True
bat,baseball bat,0.0,False
wood,glass,0.0,False
gray,blue,0.0,False
twin,twin,1.0,True
brown,brown,1.0,True
boating,boating,1.0,True
0,8,0.0,False
cow,cow,1.0,True
africa,desert,0.0,False
skiing,skiing,1.0,True
silver,silver,1.0,True
floor,rug,0.0,False
microwave,clock,0.0,False
12,25,0.0,False
right,american,0.0,False
parking,free,0.0,False
apple,apple,1.0,True
trees,clouds,0.0,False
baseball,baseball,1.0,True
cabbage,cabbage,1.0,True
many,many,1.0,True
couch,floor,0.0,False
surfing,surfing,1.0,True
cheese,pepperoni,0.0,False
standing,standing,1.0,True
cheese,cheese,1.0,True
pitching,pitching,1.0,True
phone,phone,1.0,True
soccer,soccer,1.0,True
snow,snow,1.0,True
clock,church,0.0,False
table,kitchen,0.0,False
blue and white,blue,0.0,False
skateboarding,skateboarding,1.0,True
cake,cake,1.0,True
soccer,soccer,1.0,True
off,on,0.0,False
living room,living room,1.0,True
pink,red and green,0.0,False
wire,metal,0.0,False
apron,apron,1.0,True
down,up,0.0,False
motorcycles,motorcycles,1.0,True
drinking,drinking,1.0,True
plate,table,0.0,False
sitting,talking,0.0,False
lab,golden retriever,0.0,False
mountain,snow,0.0,False
13,13,1.0,True
baby,baby,1.0,True
train,train,1.0,True
cat,cat,1.0,True
living room,living room,1.0,True
summer,summer,1.0,True
tan,blue,0.0,False
wilson,wilson,1.0,True
snowboard,skis,0.0,False
usa,france,0.0,False
boots,bow,0.0,False
leather,screen,0.0,False
blue,blue,1.0,True
sheep,sheep,1.0,True
8,17,0.0,False
spoon,spoon,1.0,True
0,3,0.0,False
english,english,1.0,True
low,dry,0.0,False
eating,watching,0.625,False
gray,gray,1.0,True
skiing,up,0.0,False
living room,bedroom,0.0,False
spoon,spoon,1.0,True
oranges,oranges,1.0,True
wet,wet,1.0,True
smoke,oval,0.0,False
pink,purple,0.0,False
black and white,brown and white,0.7333333333333334,False
identification,identification,1.0,True
clear,clear,1.0,True
oak,wooden,0.0,False
boat,boat,1.0,True
teddy bear,teddy bear,1.0,True
beach,beach,1.0,True
restaurant,parking lot,0.0,False
ski poles,ski poles,1.0,True
flag,peace,0.0,False
window,window,1.0,True
road,on right,0.0,False
pizza,pizza,1.0,True
pizza,pizza,1.0,True
flower,flower,1.0,True
elephants,elephants,1.0,True
2,4,0.0,False
blonde,gray,0.0,False
rice,rice,1.0,True
saddle,hand,0.0,False
school,school,1.0,True
church,church,1.0,True
water,candle,0.0,False
phone,phone,1.0,True
kite,kite,1.0,True
8,12,0.0,False
0,2,0.0,False
tennis racket,racket,0.0,False
couch,couch,1.0,True
not very,foggy,0.0,False
red,red,1.0,True
red,green,0.0,False
sitting,sitting,1.0,True
blue,blue,1.0,True
horse,horse,1.0,True
soccer ball,ball,0.0,False
hat,blanket,0.0,False
tile,wood,0.0,False
purple,white,0.0,False
police,black and white,0.0,False
flowers,stairs,0.0,False
skis,camera,0.0,False
red and white,red and white,1.0,True
bananas,bananas,1.0,True
reading,reading,1.0,True
woman,woman,1.0,True
gray,gray,1.0,True
trash,bowl,0.0,False
elephants,elephants,1.0,True
open,closed,0.0,False
9,5,0.0,False
playing baseball,catching,0.0,False
soccer,soccer,1.0,True
living room,living room,1.0,True
tomato,avocado,0.0,False
vase,vase,1.0,True
laptop,screen,0.0,False
bike,bike,1.0,True
wine,cheese,0.0,False
couch,couch,1.0,True
sunny,sunny,1.0,True
apple,apple,1.0,True
back,empty,0.0,False
broccoli,broccoli,1.0,True
3,0,0.0,False
wii controller,controller,0.7142857142857143,False
restaurant,restaurant,1.0,True
birthday,cake,0.0,False
left,standing,0.0,False
wood,metal,0.0,False
man,man,1.0,True
nothing,food,0.0,False
tennis racket,tennis racket,1.0,True
cake,cake,1.0,True
floral,flowers,0.0,False
cow,horse,0.0,False
flowers,flowers,1.0,True
standing,horse,0.0,False
birthday,baby,0.0,False
tennis,tennis,1.0,True
bird,tiger,0.0,False
frosting,frosting,1.0,True
overcast,overcast,1.0,True
hot dog,hot dog,1.0,True
cold,safety,0.0,False
black and white,gray,0.0,False
volleyball,volleyball,1.0,True
tennis,tennis,1.0,True
cow,cow,1.0,True
nike,adidas,0.0,False
table,plate,0.0,False
bathroom,bathroom,1.0,True
9,8,0.0,False
grass,grass,1.0,True
cat,human,0.0,False
white,blue and white,0.0,False
grass,tree,0.0,False
10,10,1.0,True
pizza,pizza,1.0,True
frisbee,shoes,0.0,False
blonde,very,0.0,False
toilet paper,for fun,0.0,False
tennis,tennis,1.0,True
hot,cold,0.0,False
evening,evening,1.0,True
many,4,0.0,False
daytime,daytime,1.0,True
typing,typing,1.0,True
red and white,white and red,0.0,False
surfing,surfing,1.0,True
english,orioles,0.0,False
dog,dog,1.0,True
orange,brown,0.0,False
boat,boat,1.0,True
couch,couch,1.0,True
catching,swinging,0.0,False
standing,standing,1.0,True
plastic,plastic,1.0,True
7,14,0.0,False
camera,away,0.0,False
cake,cupcakes,0.5,False
donut,chocolate,0.0,False
silver,silver,1.0,True
bed,bed,1.0,True
hay,hay,1.0,True
spinach,spinach,1.0,True
on tracks,on tracks,1.0,True
playing tennis,hit ball,0.0,False
3,10,0.0,False
home,apartment,0.0,False
pink,red and white,0.0,False
helmet,helmet,1.0,True
paper,paper,1.0,True
cake,cardboard,0.0,False
playing tennis,posing,0.0,False
off,on,0.0,False
scarf,belt,0.0,False
dog,mountain,0.0,False
5,21,0.0,False
talking on phone,talking,0.0,False
carpet,carpet,1.0,True
away,north,0.0,False
ford,ford,1.0,True
gas,gas,1.0,True
flowers,flowers,1.0,True
old,old,1.0,True
tan,tan,1.0,True
ski poles,ski poles,1.0,True
10,23,0.0,False
gray,gray,1.0,True
vase,vase,1.0,True
donut,doughnut,0.625,False
clean,clean,1.0,True
floor,nowhere,0.0,False
motorola,nokia,0.0,False
2,2,1.0,True
water bottle,cup,0.0,False
left,left,1.0,True
clear,clear,1.0,True
chicken,pork,0.0,False
bear,bear,1.0,True
sheep,sheep,1.0,True
cloudy,sunny,0.0,False
0,4,0.0,False
horses,horse,0.8333333333333334,False
home,home,1.0,True
metal,wooden,0.0,False
surfing,surfing,1.0,True
sleeping,sleeping,1.0,True
glass,marble,0.0,False
cat,cat,1.0,True
horses,horses,1.0,True
bowl,mouse,0.0,False
baseball,baseball,1.0,True
air force,air force,1.0,True
stop,man,0.0,False
bike,bicycle,0.0,False
tank top,sweater,0.0,False
cloudy,cloudy,1.0,True
scissors,scissors,1.0,True
lettuce,potato,0.0,False
truck,truck,1.0,True
summer,fall,0.0,False
kitchen,kitchen,1.0,True
wedding,wedding,1.0,True
zebra,zebra,1.0,True
rock,ground,0.0,False
soccer,soccer,1.0,True
plant,curtains,0.0,False
round,oval,0.0,False
church,big ben,0.0,False
typing,typing,1.0,True
female,female,1.0,True
finch,finch,1.0,True
cumulus,lake,0.0,False
taking off,landing,0.0,False
zebra,zebra,1.0,True
laying down,at camera,0.0,False
blue,purple,0.0,False
building,building,1.0,True
eating,watching,0.625,False
english,english,1.0,True
electronics,remote,0.0,False
new,new,1.0,True
toilet,camera,0.0,False
donuts,donuts,1.0,True
orange,black,0.0,False
0,11,0.0,False
living room,living room,1.0,True
trees,grass,0.0,False
guitar,purse,0.0,False
cake,cake,1.0,True
yellow,orange,0.0,False
flying kite,flying kite,1.0,True
train,gravel,0.0,False
toothbrush,toothbrush,1.0,True
6,8,0.0,False
walking,walking,1.0,True
pink,purple,0.0,False
walking,jumping,0.0,False
eating,eating,1.0,True
clear,clear,1.0,True
soccer,soccer,1.0,True
summer,fall,0.0,False
trees,rocks,0.0,False
small,small,1.0,True
in bowl,on table,0.0,False
bathroom,bathroom,1.0,True
broccoli,bowl,0.0,False
horse,horse,1.0,True
cigarette,glasses,0.0,False
knife,knife,1.0,True
sitting,playing,0.0,False
banana,banana,1.0,True
train,good,0.0,False
coca cola,mcdonald's,0.0,False
plane,clouds,0.0,False
train,train,1.0,True
black and white,gray,0.0,False
