image_id,question_id,question,answer,image_path
335481,335481000,What is sleeping under the car?,cat,images/COCO_train2014_000000335481.jpg
433806,433806005,What's the boys number?,25,images/COCO_train2014_000000433806.jpg
224735,224735002,What type of animal is on the field?,sheep,images/COCO_train2014_000000224735.jpg
85491,85491002,What is in the forefront of the picture?,tennis ball,images/COCO_train2014_000000085491.jpg
155823,155823003,What is the brown thing on the kids hand?,glove,images/COCO_train2014_000000155823.jpg
47249,47249004,What is the man doing?,sitting,images/COCO_train2014_000000047249.jpg
91842,91842000,What is the man holding in his mouth?,toothbrush,images/COCO_train2014_000000091842.jpg
260010,260010000,Is a child or an adult batting?,child,images/COCO_train2014_000000260010.jpg
473681,473681001,What type of cat is this?,calico,images/COCO_train2014_000000473681.jpg
264709,264709003,How many desserts are in the picture?,1,images/COCO_train2014_000000264709.jpg
487956,487956003,How many candles are on the cake?,16,images/COCO_train2014_000000487956.jpg
346481,346481002,What shot is this player executing?,serve,images/COCO_train2014_000000346481.jpg
528243,528243001,What is she riding?,bicycle,images/COCO_train2014_000000528243.jpg
109644,109644003,What animal is this?,horse,images/COCO_train2014_000000109644.jpg
149143,149143005,Where is the cat?,floor,images/COCO_train2014_000000149143.jpg
18290,18290003,What game are the boys playing?,baseball,images/COCO_train2014_000000018290.jpg
493210,493210002,What is hovering above the water?,kites,images/COCO_train2014_000000493210.jpg
350299,350299001,What animal is on the bench?,dog,images/COCO_train2014_000000350299.jpg
178244,178244001,What do these animals eat?,grass,images/COCO_train2014_000000178244.jpg
154496,154496017,What is on the air?,ball,images/COCO_train2014_000000154496.jpg
75603,75603009,What color are the devices the people are typing on?,silver,images/COCO_train2014_000000075603.jpg
45148,45148003,What kind of store is this?,bakery,images/COCO_train2014_000000045148.jpg
552041,552041002,What is covering the window?,curtain,images/COCO_train2014_000000552041.jpg
237372,237372002,How long is her dress?,long,images/COCO_train2014_000000237372.jpg
446266,446266004,What is on the table?,dishes,images/COCO_train2014_000000446266.jpg
279647,279647001,What type of dog is this?,mutt,images/COCO_train2014_000000279647.jpg
134294,134294026,What is the red object a picture of?,hat,images/COCO_train2014_000000134294.jpg
368118,368118013,Are these cows or bulls?,cows,images/COCO_train2014_000000368118.jpg
236267,236267005,How many trees are in the background?,many,images/COCO_train2014_000000236267.jpg
4219,4219001,How many people are shown?,3,images/COCO_train2014_000000004219.jpg
290965,290965002,What company is on the box truck?,pepsi,images/COCO_train2014_000000290965.jpg
467763,467763004,What continent is the picture taken in?,asia,images/COCO_train2014_000000467763.jpg
508488,508488007,What time of year is it?,winter,images/COCO_train2014_000000508488.jpg
483199,483199003,How many birds are flying in the air?,5,images/COCO_train2014_000000483199.jpg
232337,232337002,What kind of flowers are in the vase?,lilies,images/COCO_train2014_000000232337.jpg
490503,490503024,What color is the cat?,black and white,images/COCO_train2014_000000490503.jpg
566245,566245001,What animal is being ridden?,elephant,images/COCO_train2014_000000566245.jpg
445477,445477002,What type of beverage is in the man's hand?,beer,images/COCO_train2014_000000445477.jpg
122918,122918003,What beverage is in the man's glass?,wine,images/COCO_train2014_000000122918.jpg
88653,88653002,What are they wearing that matches?,glasses,images/COCO_train2014_000000088653.jpg
298203,298203000,What color is the house centered between two others?,pink,images/COCO_train2014_000000298203.jpg
498152,498152001,What are the vases made out of?,clay,images/COCO_train2014_000000498152.jpg
183898,183898002,What is in the pot?,bananas,images/COCO_train2014_000000183898.jpg
279334,279334002,What is the rotten wood in this image for?,fence,images/COCO_train2014_000000279334.jpg
10627,10627011,How many wheels does the plane have?,0,images/COCO_train2014_000000010627.jpg
412330,412330004,What is the largest type of fruit in this picture?,pineapple,images/COCO_train2014_000000412330.jpg
473499,473499000,What is the woman holding?,book,images/COCO_train2014_000000473499.jpg
267311,267311002,What is the lady wearing on her face?,sunglasses,images/COCO_train2014_000000267311.jpg
512387,512387002,Is the baby sitting down or standing?,sitting,images/COCO_train2014_000000512387.jpg
53169,53169004,What is the child eating?,hot dog,images/COCO_train2014_000000053169.jpg
84162,84162001,What kind of ships have the bright triangle banners on them?,military,images/COCO_train2014_000000084162.jpg
140100,140100001,What brand is the truck?,ford,images/COCO_train2014_000000140100.jpg
177085,177085016,How is the fish cooked?,grilled,images/COCO_train2014_000000177085.jpg
371928,371928003,What does this breakfast include?,banana,images/COCO_train2014_000000371928.jpg
435889,435889015,How many people are there?,200,images/COCO_train2014_000000435889.jpg
78263,78263007,What are the people using for their TV?,laptop,images/COCO_train2014_000000078263.jpg
139095,139095005,What color is the team's shirts?,purple,images/COCO_train2014_000000139095.jpg
130132,130132001,What is on the girl's head?,helmet,images/COCO_train2014_000000130132.jpg
508567,508567000,"According to the sign, what is the animal's native country?",africa,images/COCO_train2014_000000508567.jpg
6357,6357000,What pattern is the bedding?,polka dot,images/COCO_train2014_000000006357.jpg
154585,154585007,What is the drink?,wine,images/COCO_train2014_000000154585.jpg
267199,267199000,What color is the person's pants?,blue,images/COCO_train2014_000000267199.jpg
116650,116650006,What is parked beside the curb?,car,images/COCO_train2014_000000116650.jpg
282027,282027003,What game is the woman playing?,tennis,images/COCO_train2014_000000282027.jpg
5005,5005021,What is. The animal?,cow,images/COCO_train2014_000000005005.jpg
397593,397593004,What cafe is this at?,home,images/COCO_train2014_000000397593.jpg
349204,349204003,What is the number of the bus?,22,images/COCO_train2014_000000349204.jpg
141204,141204000,What name is on the Green Street sign?,main,images/COCO_train2014_000000141204.jpg
332732,332732001,Where the stop sign is fitted?,bus,images/COCO_train2014_000000332732.jpg
232936,232936015,What is the man wearing on his left wrist?,bracelet,images/COCO_train2014_000000232936.jpg
139355,139355002,What color bow is the bear wearing?,pink,images/COCO_train2014_000000139355.jpg
6406,6406000,What is on the table?,scissors,images/COCO_train2014_000000006406.jpg
365755,365755002,What is the man holding?,kite,images/COCO_train2014_000000365755.jpg
414822,414822000,Where was this shot at?,airport,images/COCO_train2014_000000414822.jpg
155386,155386002,What kind of bus is this?,double decker,images/COCO_train2014_000000155386.jpg
181571,181571004,What is in the far background?,mountains,images/COCO_train2014_000000181571.jpg
22198,22198002,How many people are in the room?,2,images/COCO_train2014_000000022198.jpg
389138,389138000,What is sitting on the steer?,bird,images/COCO_train2014_000000389138.jpg
402699,402699002,What is covering the lady's face?,umbrella,images/COCO_train2014_000000402699.jpg
500043,500043001,What is the yellow fruit?,banana,images/COCO_train2014_000000500043.jpg
406867,406867000,What is in the reflection of the puddle?,umbrella,images/COCO_train2014_000000406867.jpg
265622,265622082,What gaming systems are these?,wii,images/COCO_train2014_000000265622.jpg
489666,489666001,What are the first three letters on the building?,big,images/COCO_train2014_000000489666.jpg
66839,66839002,What season is it?,fall,images/COCO_train2014_000000066839.jpg
458475,458475001,What country was the picture taken in?,france,images/COCO_train2014_000000458475.jpg
420442,420442007,What product name is on the phone?,nokia,images/COCO_train2014_000000420442.jpg
351154,351154001,Are these animals wild or domestic?,wild,images/COCO_train2014_000000351154.jpg
22863,22863002,What is on the shelves behind the table?,bottles,images/COCO_train2014_000000022863.jpg
45455,45455007,What sport is the person doing?,snowboarding,images/COCO_train2014_000000045455.jpg
167623,167623004,What is flying in the sky?,kites,images/COCO_train2014_000000167623.jpg
524352,524352006,What kind of food sits atop the bun?,chicken,images/COCO_train2014_000000524352.jpg
26936,26936002,What are these animals?,elephants,images/COCO_train2014_000000026936.jpg
301643,301643000,What pattern is on the man's shirt?,plaid,images/COCO_train2014_000000301643.jpg
277439,277439015,What is the couple doing?,texting,images/COCO_train2014_000000277439.jpg
176726,176726001,What is wrapped around these hot dogs?,pickles,images/COCO_train2014_000000176726.jpg
385444,385444000,Is the toilet ready for a male or female user?,male,images/COCO_train2014_000000385444.jpg
145854,145854001,What brand of motorcycle is this?,harley,images/COCO_train2014_000000145854.jpg
473866,473866001,What color is the plate?,clear,images/COCO_train2014_000000473866.jpg
565869,565869001,How many people are observing the surfer?,12,images/COCO_train2014_000000565869.jpg
346309,346309003,What type of pattern can be found on the folded blanket?,plaid,images/COCO_train2014_000000346309.jpg
206430,206430000,What event is taking place?,parade,images/COCO_train2014_000000206430.jpg
576818,576818017,Did a man or a woman order this lunch?,man,images/COCO_train2014_000000576818.jpg
316106,316106000,Where is the bus going?,downtown,images/COCO_train2014_000000316106.jpg
428120,428120004,What is in the recess in the wall near the toilet?,toilet paper,images/COCO_train2014_000000428120.jpg
561594,561594000,What fruits are these?,bananas,images/COCO_train2014_000000561594.jpg
4032,4032001,How many buses are in this photo?,5,images/COCO_train2014_000000004032.jpg
376829,376829005,What is the boy holding?,toothbrush,images/COCO_train2014_000000376829.jpg
262623,262623002,How many books are on the sign?,0,images/COCO_train2014_000000262623.jpg
187720,187720000,Who is standing on the train?,man,images/COCO_train2014_000000187720.jpg
349408,349408005,What kind of animals are these?,cows,images/COCO_train2014_000000349408.jpg
249536,249536000,Where was this cooked?,oven,images/COCO_train2014_000000249536.jpg
316443,316443001,What body of water is in the picture?,ocean,images/COCO_train2014_000000316443.jpg
89947,89947001,What might the eater of this meal be planning to do while eating?,drinking,images/COCO_train2014_000000089947.jpg
473651,473651002,What is the elephant walking on?,dirt,images/COCO_train2014_000000473651.jpg
48339,48339000,What location is this?,park,images/COCO_train2014_000000048339.jpg
460459,460459005,What is he riding?,skateboard,images/COCO_train2014_000000460459.jpg
572295,572295001,What color is the person's shirt?,pink,images/COCO_train2014_000000572295.jpg
204386,204386000,What are the boys doing?,reading,images/COCO_train2014_000000204386.jpg
563809,563809001,What is the calorie level of all of these donuts?,high,images/COCO_train2014_000000563809.jpg
405435,405435007,What car is being advertised?,ford,images/COCO_train2014_000000405435.jpg
377174,377174002,Which way is the train headed?,north,images/COCO_train2014_000000377174.jpg
347037,347037004,What is in the sky?,plane,images/COCO_train2014_000000347037.jpg
443673,443673000,What nationality do they look?,american,images/COCO_train2014_000000443673.jpg
420912,420912005,What color is the umbrella?,orange,images/COCO_train2014_000000420912.jpg
313556,313556004,What is the woman holding in her hands?,umbrella,images/COCO_train2014_000000313556.jpg
162411,162411000,What is in the blue cart?,nothing,images/COCO_train2014_000000162411.jpg
215782,215782008,What are the people doing?,biking,images/COCO_train2014_000000215782.jpg
344924,344924000,What design is the zebra's coat?,striped,images/COCO_train2014_000000344924.jpg
289966,289966001,What is the pizza on?,plate,images/COCO_train2014_000000289966.jpg
150435,150435061,What is the gender of the person in a sleeveless shirt?,male,images/COCO_train2014_000000150435.jpg
145047,145047002,What season is this?,fall,images/COCO_train2014_000000145047.jpg
510239,510239008,How many windows?,many,images/COCO_train2014_000000510239.jpg
14168,14168000,What kind of dog is this?,mutt,images/COCO_train2014_000000014168.jpg
143017,143017000,What language is the sign written in?,english,images/COCO_train2014_000000143017.jpg
514218,514218008,Why is there no people?,closed,images/COCO_train2014_000000514218.jpg
517603,517603003,What is the man in pink holding?,camera,images/COCO_train2014_000000517603.jpg
55465,55465001,Where do these animals live?,zoo,images/COCO_train2014_000000055465.jpg
274079,274079002,What color is the sign?,yellow,images/COCO_train2014_000000274079.jpg
261984,261984002,What brand is sponsoring the game?,kia,images/COCO_train2014_000000261984.jpg
405630,405630000,What animal is this?,elephant,images/COCO_train2014_000000405630.jpg
176086,176086001,How many claws are visible in the picture?,4,images/COCO_train2014_000000176086.jpg
16063,16063007,How many people are on the bike?,11,images/COCO_train2014_000000016063.jpg
185262,185262004,Why is there a world map hanging on the wall?,decoration,images/COCO_train2014_000000185262.jpg
323182,323182002,What is the building made of?,stone,images/COCO_train2014_000000323182.jpg
573287,573287004,What are they sitting on?,couch,images/COCO_train2014_000000573287.jpg
316636,316636009,What is flying in the sky?,kite,images/COCO_train2014_000000316636.jpg
581629,581629002,What does the woman have in her hand?,camera,images/COCO_train2014_000000581629.jpg
250922,250922003,What shape is in the center of the plate?,round,images/COCO_train2014_000000250922.jpg
290584,290584004,How many people are seated at the table?,10,images/COCO_train2014_000000290584.jpg
135683,135683002,How many people?,1,images/COCO_train2014_000000135683.jpg
25576,25576002,What color is his jacket?,gray,images/COCO_train2014_000000025576.jpg
302655,302655002,How does the sky look?,clear,images/COCO_train2014_000000302655.jpg
509698,509698002,What type of trees are the people on the bench facing?,cherry,images/COCO_train2014_000000509698.jpg
111604,111604002,What color are the stripes?,red and blue,images/COCO_train2014_000000111604.jpg
506011,506011002,What utensil is in the far left bottom corner?,spoon,images/COCO_train2014_000000506011.jpg
436214,436214000,What animals are pictured?,cats,images/COCO_train2014_000000436214.jpg
388188,388188000,What colors  on the fridge?,white and blue,images/COCO_train2014_000000388188.jpg
136971,136971002,What is on the ground?,snow,images/COCO_train2014_000000136971.jpg
321310,321310001,What type of wall is behind the vases?,brick,images/COCO_train2014_000000321310.jpg
22882,22882032,What type of drink is in the bottle?,wine,images/COCO_train2014_000000022882.jpg
332832,332832001,Is this a boy or girl?,girl,images/COCO_train2014_000000332832.jpg
276918,276918000,How are the giraffes contained?,fence,images/COCO_train2014_000000276918.jpg
547859,547859003,What sport are the boys playing?,soccer,images/COCO_train2014_000000547859.jpg
448648,448648009,What is on the back of the bike?,person,images/COCO_train2014_000000448648.jpg
235012,235012007,What animal is swimming?,elephant,images/COCO_train2014_000000235012.jpg
517830,517830006,From what is the shadow casted?,building,images/COCO_train2014_000000517830.jpg
546730,546730005,Who is the good listener?,man,images/COCO_train2014_000000546730.jpg
28038,28038000,What is the person in the back wearing on their ears?,headphones,images/COCO_train2014_000000028038.jpg
503771,503771001,What type of flooring is shown?,tile,images/COCO_train2014_000000503771.jpg
174680,174680069,What color shirt is the man wearing?,tan,images/COCO_train2014_000000174680.jpg
106352,106352001,Who has the funniest apron?,woman,images/COCO_train2014_000000106352.jpg
176435,176435002,Which animal is this?,cow,images/COCO_train2014_000000176435.jpg
233337,233337001,Where are the hot dogs?,plate,images/COCO_train2014_000000233337.jpg
360637,360637001,What is stuck to the outside of the bottom door?,magnets,images/COCO_train2014_000000360637.jpg
360589,360589002,Why are there socks on the table?,dirty,images/COCO_train2014_000000360589.jpg
225174,225174002,What color is the plane?,silver,images/COCO_train2014_000000225174.jpg
571955,571955003,What is the zebra eating?,grass,images/COCO_train2014_000000571955.jpg
126198,126198008,What is the white object the man is holding?,bat,images/COCO_train2014_000000126198.jpg
528903,528903001,What is in the picture?,car,images/COCO_train2014_000000528903.jpg
438,438000,What kind of food is shown?,donuts,images/COCO_train2014_000000000438.jpg
219194,219194004,Can you describe the cat's eyes?,closed,images/COCO_train2014_000000219194.jpg
145128,145128011,How long are the women's dresses?,long,images/COCO_train2014_000000145128.jpg
232379,232379004,What is in the sky?,plane,images/COCO_train2014_000000232379.jpg
184443,184443000,What animals are shown?,zebras,images/COCO_train2014_000000184443.jpg
541721,541721012,What pattern is on the couch?,stripes,images/COCO_train2014_000000541721.jpg
173652,173652005,What is the purpose of the poles in the foreground?,parking,images/COCO_train2014_000000173652.jpg
491660,491660028,What does the dog have in his mouth?,tongue,images/COCO_train2014_000000491660.jpg
32700,32700015,What is holding the man's pants up?,belt,images/COCO_train2014_000000032700.jpg
99751,99751002,What is in the air?,kites,images/COCO_train2014_000000099751.jpg
435698,435698000,What type of animal is this?,cat,images/COCO_train2014_000000435698.jpg
508722,508722001,How many skiers?,many,images/COCO_train2014_000000508722.jpg
126097,126097001,What is the man in gray t-shirt leaning on?,wall,images/COCO_train2014_000000126097.jpg
222994,222994003,Where is the banana's?,table,images/COCO_train2014_000000222994.jpg
111290,111290007,What is the lamp post for?,light,images/COCO_train2014_000000111290.jpg
317495,317495000,What is in the white bag on the right side?,trash,images/COCO_train2014_000000317495.jpg
293489,293489008,What's to the right of the bowl?,fork,images/COCO_train2014_000000293489.jpg
84187,84187001,What is shining through the sky?,sun,images/COCO_train2014_000000084187.jpg
520133,520133000,What is drawn in the center of the vase?,trees,images/COCO_train2014_000000520133.jpg
508040,508040002,What color is the kids hair?,blonde,images/COCO_train2014_000000508040.jpg
160443,160443002,Where are the orange cones?,ground,images/COCO_train2014_000000160443.jpg
3770,3770002,What type of sport is this?,tennis,images/COCO_train2014_000000003770.jpg
343162,343162000,How many kites are in the picture?,9,images/COCO_train2014_000000343162.jpg
407522,407522001,Winter or summer?,winter,images/COCO_train2014_000000407522.jpg
346302,346302001,What is on the small table to the right and below the windows?,plant,images/COCO_train2014_000000346302.jpg
350077,350077030,What soft drink is being advertised on the side of the truck?,coca cola,images/COCO_train2014_000000350077.jpg
12902,12902001,What is the fruit in the bowl?,oranges,images/COCO_train2014_000000012902.jpg
532062,532062002,Is the hand left or right?,right,images/COCO_train2014_000000532062.jpg
361394,361394000,What is on the plate?,cake,images/COCO_train2014_000000361394.jpg
265330,265330003,What is looking at the camera?,sheep,images/COCO_train2014_000000265330.jpg
474024,474024003,What color is the girl's phone?,silver,images/COCO_train2014_000000474024.jpg
546451,546451000,What room is this?,bathroom,images/COCO_train2014_000000546451.jpg
27742,27742020,What is the name of the sign the girl is making with her hand?,nothing,images/COCO_train2014_000000027742.jpg
165546,165546004,What are the men using to cut?,knife,images/COCO_train2014_000000165546.jpg
239365,239365000,Where are her glasses?,head,images/COCO_train2014_000000239365.jpg
482201,482201001,What is the object in the middle?,kite,images/COCO_train2014_000000482201.jpg
46104,46104015,What is on the floor?,tile,images/COCO_train2014_000000046104.jpg
554742,554742002,What sort of shoes is he wearing?,cleats,images/COCO_train2014_000000554742.jpg
425269,425269010,What is the smaller bench made of?,wood,images/COCO_train2014_000000425269.jpg
170786,170786002,Was the photo taken on a farm or in the city?,farm,images/COCO_train2014_000000170786.jpg
52611,52611002,What room is the picture taken in?,bathroom,images/COCO_train2014_000000052611.jpg
503497,503497006,Are there numbers or Roman numerals on the clock face?,roman numerals,images/COCO_train2014_000000503497.jpg
16253,16253004,What is the man doing?,flying kite,images/COCO_train2014_000000016253.jpg
229107,229107000,Is this a young or a mature zebra?,young,images/COCO_train2014_000000229107.jpg
271890,271890009,Where is the fork?,right,images/COCO_train2014_000000271890.jpg
405613,405613000,What are they making?,pizza,images/COCO_train2014_000000405613.jpg
246285,246285003,Who has the ball?,no one,images/COCO_train2014_000000246285.jpg
289169,289169001,What numbers are visible on the keypad?,all,images/COCO_train2014_000000289169.jpg
392457,392457000,What time of day is it?,evening,images/COCO_train2014_000000392457.jpg
37727,37727002,What type of computer is this?,apple,images/COCO_train2014_000000037727.jpg
385178,385178011,What is the logo on his socks?,nike,images/COCO_train2014_000000385178.jpg
393997,393997000,What does the man have to protect his head?,shirt,images/COCO_train2014_000000393997.jpg
135966,135966002,Why is the ground wet?,rain,images/COCO_train2014_000000135966.jpg
474168,474168002,What material is used to make a tennis racket?,plastic,images/COCO_train2014_000000474168.jpg
367085,367085010,Where is the donuts?,table,images/COCO_train2014_000000367085.jpg
432370,432370001,What time of day is it?,noon,images/COCO_train2014_000000432370.jpg
548020,548020014,Is this phone taken in a European or Asian city?,asian,images/COCO_train2014_000000548020.jpg
605,605002,What liquid is inside the clear glass?,water,images/COCO_train2014_000000000605.jpg
43742,43742000,Who doesn't have a glass in their hand?,woman,images/COCO_train2014_000000043742.jpg
568884,568884000,What color is the truck?,red,images/COCO_train2014_000000568884.jpg
105473,105473029,What is the man wearing?,sweater,images/COCO_train2014_000000105473.jpg
460791,460791001,What is above the toilet?,picture,images/COCO_train2014_000000460791.jpg
26049,26049001,Where is the bike parked?,street,images/COCO_train2014_000000026049.jpg
282158,282158036,Where are these people?,park,images/COCO_train2014_000000282158.jpg
48742,48742028,Where is the arrow pointing?,straight,images/COCO_train2014_000000048742.jpg
347849,347849004,What is the man holding?,hat,images/COCO_train2014_000000347849.jpg
496431,496431000,Where are the wine glasses?,cabinet,images/COCO_train2014_000000496431.jpg
274286,274286002,What are the straws for?,food,images/COCO_train2014_000000274286.jpg
529126,529126005,What is plugged in?,tv,images/COCO_train2014_000000529126.jpg
360898,360898027,What is the man standing under?,kite,images/COCO_train2014_000000360898.jpg
49065,49065001,What is on the man's head?,helmet,images/COCO_train2014_000000049065.jpg
309607,309607000,Is the doughnut plain or glazed?,glazed,images/COCO_train2014_000000309607.jpg
157618,157618000,How many boats are seen?,27,images/COCO_train2014_000000157618.jpg
66124,66124003,How many kites in the sky?,20,images/COCO_train2014_000000066124.jpg
198785,198785003,What is the woman in the middle sitting on?,motorcycle,images/COCO_train2014_000000198785.jpg
179576,179576000,What is the dog sleeping on?,couch,images/COCO_train2014_000000179576.jpg
345867,345867003,What room is this?,bedroom,images/COCO_train2014_000000345867.jpg
71964,71964006,What color is the floor?,tan,images/COCO_train2014_000000071964.jpg
239565,239565001,What type of fruit is this?,apple,images/COCO_train2014_000000239565.jpg
372141,372141001,What is being fixed?,skateboard,images/COCO_train2014_000000372141.jpg
59194,59194002,What is next to the window?,chair,images/COCO_train2014_000000059194.jpg
243354,243354004,Is the skateboarder's shirt plain or striped?,plain,images/COCO_train2014_000000243354.jpg
33850,33850002,Which foot of the bird's is lifted up?,right,images/COCO_train2014_000000033850.jpg
185519,185519001,What is the most likely material connecting the kite to the girl's hand?,string,images/COCO_train2014_000000185519.jpg
245922,245922001,What is the food on?,cutting board,images/COCO_train2014_000000245922.jpg
491577,491577000,What would this person use to settle shaking cameras?,stand,images/COCO_train2014_000000491577.jpg
201698,201698007,What region of the world was this photo taken in?,africa,images/COCO_train2014_000000201698.jpg
94925,94925010,How many lights?,50,images/COCO_train2014_000000094925.jpg
304716,304716007,What kind of computer is this?,laptop,images/COCO_train2014_000000304716.jpg
444419,444419027,Where is the bull?,pen,images/COCO_train2014_000000444419.jpg
189767,189767018,What kind of room is this?,kitchen,images/COCO_train2014_000000189767.jpg
341737,341737001,What is near the giraffes neck?,tree,images/COCO_train2014_000000341737.jpg
177150,177150003,"Seat, up or down?",down,images/COCO_train2014_000000177150.jpg
427909,427909000,What type of door has glass panes?,truck,images/COCO_train2014_000000427909.jpg
53426,53426000,What are the animals doing?,drinking,images/COCO_train2014_000000053426.jpg
579137,579137001,What language are the signs written in?,arabic,images/COCO_train2014_000000579137.jpg
398579,398579000,What type of room does the scene depict?,bedroom,images/COCO_train2014_000000398579.jpg
465677,465677010,What kind of trees are in the background?,palm,images/COCO_train2014_000000465677.jpg
461567,461567009,What are they wearing?,clothes,images/COCO_train2014_000000461567.jpg
181997,181997001,Is this color or black and white?,color,images/COCO_train2014_000000181997.jpg
412722,412722001,What color is the tile behind the toilet?,tan,images/COCO_train2014_000000412722.jpg
14468,14468004,What game console are the boys playing on?,wii,images/COCO_train2014_000000014468.jpg
135772,135772000,What color are the seat cushions?,blue,images/COCO_train2014_000000135772.jpg
156700,156700032,What time of day is it?,afternoon,images/COCO_train2014_000000156700.jpg
156824,156824003,What kind of glasses are these?,wine,images/COCO_train2014_000000156824.jpg
160298,160298001,What types of objects are these?,electronics,images/COCO_train2014_000000160298.jpg
383637,383637002,What fabric are the couches made from?,leather,images/COCO_train2014_000000383637.jpg
165955,165955001,Is this a library or a bookstore?,library,images/COCO_train2014_000000165955.jpg
480010,480010001,What color is the umbrella?,green and yellow,images/COCO_train2014_000000480010.jpg
234357,234357003,What is in the vase?,flowers,images/COCO_train2014_000000234357.jpg
316383,316383004,What is the zebra looking at?,camera,images/COCO_train2014_000000316383.jpg
334616,334616012,What animal the person is petting?,dog,images/COCO_train2014_000000334616.jpg
172637,172637001,What time is it?,night,images/COCO_train2014_000000172637.jpg
522871,522871001,Who runs faster?,ostrich,images/COCO_train2014_000000522871.jpg
380284,380284000,Overcast or sunny?,sunny,images/COCO_train2014_000000380284.jpg
266108,266108004,How many motorcycles are in the picture?,4,images/COCO_train2014_000000266108.jpg
463144,463144003,What are these people cutting?,cake,images/COCO_train2014_000000463144.jpg
217240,217240013,What shape is the pillow at the foot of the bed?,rectangle,images/COCO_train2014_000000217240.jpg
481725,481725005,Where is the light coming from?,lamp,images/COCO_train2014_000000481725.jpg
114879,114879001,What color is the chair the man is sitting on?,rainbow,images/COCO_train2014_000000114879.jpg
125735,125735000,What is the person riding the horse wearing on his head?,hat,images/COCO_train2014_000000125735.jpg
250268,250268002,Which department enforces the proper use of this item?,parking,images/COCO_train2014_000000250268.jpg
212648,212648011,What is the sidewalk made of?,bricks,images/COCO_train2014_000000212648.jpg
455369,455369001,Where is the clock?,hands,images/COCO_train2014_000000455369.jpg
312686,312686001,How many stories are in the center building?,6,images/COCO_train2014_000000312686.jpg
416371,416371025,Is the child indoors or outdoors?,indoors,images/COCO_train2014_000000416371.jpg
175477,175477002,What is the pan the pizza is on made of?,ceramic,images/COCO_train2014_000000175477.jpg
416117,416117004,Which hand is the man raising?,both,images/COCO_train2014_000000416117.jpg
90679,90679002,What time of day is it?,morning,images/COCO_train2014_000000090679.jpg
182416,182416003,What is in front of the woman?,fire hydrant,images/COCO_train2014_000000182416.jpg
458610,458610006,What is the metal that most likely makes up the top of this tower?,gold,images/COCO_train2014_000000458610.jpg
540978,540978002,What color is the bench?,tan,images/COCO_train2014_000000540978.jpg
301136,301136000,What is covering the hill?,snow,images/COCO_train2014_000000301136.jpg
215889,215889005,What are they trying to get on the train?,luggage,images/COCO_train2014_000000215889.jpg
452342,452342002,What is the women doing?,taking picture,images/COCO_train2014_000000452342.jpg
167622,167622003,Why is the fire hydrant purple?,decoration,images/COCO_train2014_000000167622.jpg
13914,13914003,What animal is in the picture?,elephant,images/COCO_train2014_000000013914.jpg
339228,339228001,What type of room is this?,living room,images/COCO_train2014_000000339228.jpg
494055,494055000,What room is pictured with a bed?,bedroom,images/COCO_train2014_000000494055.jpg
288602,288602003,Where are the boulders?,background,images/COCO_train2014_000000288602.jpg
65965,65965000,What does her hand gesture mean?,peace,images/COCO_train2014_000000065965.jpg
174700,174700001,What is the gray kitten sitting on?,suitcase,images/COCO_train2014_000000174700.jpg
579950,579950000,What pattern is the background?,graffiti,images/COCO_train2014_000000579950.jpg
356253,356253001,What pattern is on the curtain?,plaid,images/COCO_train2014_000000356253.jpg
